time,duration,magnitude,ons type,V max,B max
1960-04-27 20:00,36,4.25,SSC,,
1960-04-30 01:30,9,1.58,SSC,,
1960-04-30 12:12,36,8.99,SSC,,
1960-05-05 22:00,35,1.83,,,
1960-05-08 04:18,29,10.2,SSC,,
1960-05-11 04:30,36,1.39,SSC,,
1960-05-13 08:00,38,2.26,,,
1960-05-15 10:06,22,1.19,SSC,,
1960-05-16 11:24,40,2,SSC,,
1960-05-20 15:00,21,0.82,,,
1960-05-22 14:36,39,3.06,SSC,,
1960-05-24 14:00,36,1.68,,,
1960-05-26 22:00,21,1.06,,,
1960-05-28 20:18,55,4.47,SSC,,
1960-05-31 20:00,26,0.77,,,
1960-06-02 01:00,36,1.03,,,
1960-06-04 02:42,44,5.91,SSC,,
1960-06-07 17:00,47,1.04,,,
1960-06-10 20:00,31,1.09,,,
1960-06-13 11:00,63,1.77,,,
1960-06-17 20:00,59,2.71,,,
1960-06-21 06:00,36,0.99,,,
1960-06-23 04:00,36,1.33,,,
1960-06-25 15:00,30,1.14,,,
1960-06-27 01:42,18,1.89,SSC,,
1960-06-27 22:00,36,3.5,,,
1960-06-29 19:36,19,3.57,SSC,,
1960-06-30 17:18,27,1.62,SSC,,
1960-07-01 23:00,59,1.23,,,
1960-07-06 02:00,46,1.66,,,
1960-07-11 09:00,45,1.65,,,
1960-07-14 04:42,10,1,SSC,,
1960-07-14 17:00,42,7.55,SSC,,
1960-07-19 07:00,55,1.84,,,
1960-07-22 23:00,55,0.98,,,
1960-07-26 03:00,49,1.28,,,
1960-07-29 01:00,63,1.8,,,
1960-08-01 12:00,36,0.97,,,
1960-08-04 18:00,36,0.98,,,
1960-08-08 06:00,35,1.27,,,
1960-08-10 01:00,36,1.48,,,
1960-08-11 21:00,36,1.28,,,
1960-08-14 15:06,36,3.21,SSC,,
1960-08-16 14:06,36,2.68,SSC,,
1960-08-19 16:12,36,1.64,SSC,,
1960-08-22 02:00,45,1.12,,,
1960-08-24 13:00,36,1.18,,,
1960-08-27 10:00,32,0.98,,,
1960-08-29 00:18,40,5.13,SSC,,
